,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2665,2008-11-06 00:00:00,2008-11-11 00:00:00,Philippines,Storm,Tropical cyclone,19.0,474.0,,2008-0540,VIII
2669,2008-05-13 00:00:00,2008-05-13 00:00:00,Philippines,Storm,Tropical cyclone,1.0,8390.0,0.28,2008-0609,Lambayong
2669,2008-05-13 00:00:00,2008-05-13 00:00:00,Philippines,Storm,Tropical cyclone,1.0,8390.0,0.28,2008-0609, Esperanza 
2669,2008-05-13 00:00:00,2008-05-13 00:00:00,Philippines,Storm,Tropical cyclone,1.0,8390.0,0.28,2008-0609,Sultan Kudarat
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621,Nueva Era
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Paoay
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, San Nicolas
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Bangui
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Batac city
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Dingras
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Pasuquin
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Marcos
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Piddig
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Laoag city
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Bacarra
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Sarrat
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Currimao
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Pagudpud 
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621,Ilicos Norte
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Luna 
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621,La Union
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621, Sta.Terisita 
2672,2008-07-18 00:00:00,2008-07-18 00:00:00,Philippines,Storm,Tropical cyclone,2.0,31130.0,0.147,2008-0621,Cagayan
2674,2008-09-29 00:00:00,2008-09-29 00:00:00,Philippines,Storm,Tropical cyclone,1.0,27683.0,,2008-0623,Nueva Ecija
2674,2008-09-29 00:00:00,2008-09-29 00:00:00,Philippines,Storm,Tropical cyclone,1.0,27683.0,,2008-0623, Pampanga
2674,2008-09-29 00:00:00,2008-09-29 00:00:00,Philippines,Storm,Tropical cyclone,1.0,27683.0,,2008-0623, Candaba
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184,Colombo
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Kalutara
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Ratnapura
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Puttalam
